Date,gross_return,strategy_return,turnover,transaction_cost,cash_weight,strategy_equity,gross_strategy_equity,strategy_drawdown,price,short_sma,long_sma,signal,position,fallback_position,buy_hold_return,buy_hold_equity,buy_hold_drawdown
2020-05-21,-0.007455243166241021,-0.007455243166241021,0.0,0.0,0.0,16681.00931881452,17000.592241965987,-0.23485925674109898,76.69575500488281,72.9581859588623,70.3492541885376,1.0,1.0,0.0,-0.007455243166241021,31702.154465231062,-0.029010494723661573
2020-05-22,0.006438391566973456,0.006438391566973456,0.0,0.0,0.0,16788.408188541376,17110.048711690215,-0.2299329810321532,77.1895523071289,73.40216598510742,70.41907634735108,1.0,1.0,0.0,0.006438391566973456,31906.265349194895,-0.02275888408127069
2020-05-26,-0.0067734867167803525,-0.0067734867167803525,0.0,0.0,0.0,16674.692128680406,16994.154024018117,-0.23514901975616254,76.66670989990234,73.81758995056153,70.47854038238525,1.0,1.0,0.0,-0.0067734867167803525,31690.148684670057,-0.02937821379903771
2020-05-27,0.004356813047132979,0.004356813047132979,0.0,0.0,0.0,16747.340644903565,17068.194375994946,-0.23181670702632384,77.000732421875,74.30511703491212,70.52520908355713,1.0,1.0,0.0,0.004356813047132979,31828.21673792501,-0.02514939613708589
2020-05-28,0.0004401227032768684,0.0004401227032768684,0.0,0.0,0.0,16754.7115297409,17075.706475843766,-0.23147861211880805,77.03462219238281,74.68389739990235,70.57924877166748,1.0,1.0,0.0,0.0004401227032768684,31842.22505871619,-0.02472034225402253
2020-05-29,-0.00097414282661068,-0.00097414282661068,0.0,0.0,0.0,16738.39004769227,17059.072298871015,-0.23222726171590935,76.95957946777344,74.98565940856933,70.62683048248292,1.0,1.0,0.0,-0.00097414282661068,31811.20618359192,-0.025670403936555064
2020-06-01,0.012298203097257598,0.012298203097257598,0.0,0.0,0.0,16944.242168019904,17268.86823465333,-0.22278503664795413,77.90604400634766,75.39183540344239,70.68727252960205,1.0,1.0,0.0,0.012298203097257598,32202.426858006467,-0.013687900680497966
2020-06-02,0.004629576583826012,0.004629576583826012,0.0,0.0,0.0,17022.686834791646,17348.81578266166,-0.21918686045302038,78.26671600341797,75.7666790008545,70.73976139068604,1.0,1.0,0.0,0.004629576583826012,32351.510459330664,-0.009121693281144094
2020-06-03,0.005504858130880752,0.005504858130880752,0.0,0.0,0.0,17116.394310823587,17444.318552283996,-0.21488859489308654,78.69756317138672,76.10995559692383,70.78104900360107,1.0,1.0,0.0,0.005504858130880752,32529.60093472898,-0.003667048777689641
2020-06-04,-0.008612272925174302,-0.008612272925174302,0.0,0.0,0.0,16968.983251523874,17294.083319918045,-0.22165018859053431,78.0197982788086,76.38228836059571,70.8138733291626,1.0,1.0,0.0,-0.008612272925174302,32249.44713333209,-0.012247740077960478
2020-06-05,0.028481027821545934,0.028481027821545934,0.0,0.0,0.0,17452.27733561387,17786.636588100762,-0.19948198595688638,80.24188232421875,76.72818870544434,70.85295108795167,1.0,1.0,0.0,0.028481027821545934,33167.944534366,0.0
2020-06-08,0.005912261739141611,0.005912261739141611,0.0,0.0,0.0,17555.459767166107,17891.795839068607,-0.19474911393096583,80.71629333496094,77.01054573059082,70.90708072662353,1.0,1.0,0.0,0.005912261739141611,33364.0421038025,0.0
2020-06-09,0.03157837228202154,0.03157837228202154,0.0,0.0,0.0,18109.83261127573,18456.78962886864,-0.16932060167024998,83.26518249511719,77.36128616333008,70.9899263381958,1.0,1.0,0.0,0.03157837228202154,34417.624246189414,0.0
2020-06-10,0.02572749161744281,0.02572749161744281,0.0,0.0,0.0,18575.75317797562,18931.636529330262,-0.14794930441293885,85.40738677978516,77.86270751953126,71.08480182647705,1.0,1.0,0.0,0.02572749161744281,35303.10338547555,0.0
2020-06-11,-0.04801064664067234,-0.04801064664067234,0.0,0.0,0.0,17683.919256063487,18022.716417590942,-0.1888568092787083,81.30692291259766,78.20461158752441,71.13026744842529,1.0,1.0,0.0,-0.04801064664067234,33608.178563516354,-0.04801064664067256
2020-06-12,0.008633524758842936,0.008633524758842936,0.0,0.0,0.0,17836.59381079409,18178.315986003818,-0.1818537844586493,82.0088882446289,78.55874061584473,71.18795459747315,1.0,1.0,0.0,0.008633524758842936,33898.33560524409,-0.039791622988289976
2020-06-15,0.012367210592842959,0.012367210592842959,0.0,0.0,0.0,18057.18272271118,18403.13104802597,-0.1717355979153119,83.02310943603516,78.9857292175293,71.25306255340575,1.0,1.0,0.0,0.012367210592842959,34317.56346042101,-0.027916523776774005
2020-06-16,0.026502377089516083,0.026502377089516083,0.0,0.0,0.0,18535.740988402766,18890.85776668854,-0.14978462240144097,85.22341918945312,79.43498649597169,71.33648906707764,1.0,1.0,0.0,0.026502377089516083,35227.06046804249,-0.0021540009274184646
2020-06-17,-0.0013917133167251627,-0.0013917133167251627,0.0,0.0,0.0,18509.94455083384,18864.567108370276,-0.1509678784645293,85.10481262207031,79.9003402709961,71.42094509124756,1.0,1.0,0.0,-0.0013917133167251627,35178.03449888003,-0.0035427164923687027
2020-06-18,0.0003983017981941117,0.0003983017981941117,0.0,0.0,0.0,18517.31709503291,18872.080899371693,-0.150629707443797,85.13871002197266,80.2936840057373,71.52828197479248,1.0,1.0,0.0,0.0003983017981941117,35192.04597327787,-0.003145825764523935
2020-06-19,-0.005714694854095259,-0.005714694854095259,0.0,0.0,0.0,18411.496278318275,18764.232715769984,-0.15548359948388946,84.65216827392578,80.69150466918946,71.60970470428467,1.0,1.0,0.0,-0.005714694854095259,34990.934169249296,-0.00884254318431077
2020-06-22,0.026163691699602643,0.026163691699602643,0.0,0.0,0.0,18893.208990672578,19255.174315524986,-0.13338793274552774,86.86698150634766,81.1753761291504,71.69726001739502,1.0,1.0,0.0,0.026163691699602643,35906.42618313462,0.0
2020-06-23,0.021344866500278448,0.021344866500278448,0.0,0.0,0.0,19296.482014340345,19666.17344072946,-0.11489021386245057,88.72114562988281,81.77809791564941,71.80448917388917,1.0,1.0,0.0,0.021344866500278448,36672.844056515736,0.0
2020-06-24,-0.017652120268387472,-0.017652120268387472,0.0,0.0,0.0,18955.858193066433,19319.023781934735,-0.13051427825807738,87.155029296875,82.28581275939942,71.93064044952392,1.0,1.0,0.0,-0.017652120268387472,36025.49060264631,-0.01765212026838736
2020-06-25,0.013275605974447213,0.013275605974447213,0.0,0.0,0.0,19207.508697345078,19575.49552947468,-0.11897132841582381,88.31206512451172,82.84968490600586,72.07040935516358,1.0,1.0,0.0,0.013275605974447213,36503.75082092319,-0.004610856887236836
2020-06-26,-0.03072567227337597,-0.03072567227337597,0.0,0.0,0.0,18617.345079922437,18974.025269247104,-0.14604152664236691,85.59861755371094,83.28163681030273,72.15850299835205,1.0,1.0,0.0,-0.03072567227337597,35382.14853645052,-0.03519485748299622
