Date,price,short_sma,long_sma,signal,position,asset_return,strategy_return,buy_hold_return,trade,transaction_cost,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown,model_forecast,entry_price,exit_price,long_forecast_price,cash_forecast_price
2018-03-06,41.46632766723633,39.9375394821167,39.71340431213379,1.0,1.0,-0.0008482103341027,-0.0018482103341027,-0.0008482103341027,1.0,0.001,12284.794130875978,17140.084447265883,-0.0338008515467924,-0.0128511935800424,LONG,41.46632766723633,,41.46632766723633,
2018-03-07,41.08140563964844,40.086134910583496,39.7595817565918,1.0,1.0,-0.0092827614414484,-0.0092827614414484,-0.0092827614414484,0.0,0.0,12170.75731760175,16980.977132255633,-0.0427698477468142,-0.0220146604572495,LONG,,,41.08140563964844,
2018-03-08,41.52970123291016,40.29793605804444,39.81152320861816,1.0,1.0,0.0109123723076569,0.0109123723076569,0.0109123723076569,0.0,0.0,12303.569152717562,17166.279876870616,-0.0323241959413121,-0.0113425203207286,LONG,,,41.52970123291016,
2018-03-09,42.24322128295898,40.59672317504883,39.86829399108887,1.0,1.0,0.0171809579377228,0.0171809579377228,0.0171809579377228,0.0,0.0,12514.956256814266,17461.213009382307,-0.0156985986544277,0.0,LONG,,,42.24322128295898,
2018-03-12,42.651611328125,40.89374923706055,39.92241725921631,1.0,1.0,0.0096675876688117,0.0096675876688117,0.0096675876688117,0.0,0.0,12635.945693598364,17630.020816954308,-0.0061827785643852,0.0,LONG,,,42.651611328125,
2018-03-13,42.24086380004883,41.096303939819336,39.97105880737305,1.0,1.0,-0.0096302933297462,-0.0096302933297462,-0.0096302933297462,0.0,0.0,12514.257830070266,17460.238545077504,-0.0157535299229636,-0.0096302933297462,LONG,,,42.24086380004883,
2018-03-14,41.88176727294922,41.26177501678467,40.01776306152344,1.0,1.0,-0.0085011643890481,-0.0085011643890481,-0.0085011643890481,0.0,0.0,12407.872067049906,17311.806186933805,-0.0241207709644288,-0.0180495890120835,LONG,,,41.88176727294922,
2018-03-15,41.931060791015625,41.39415225982666,40.07376472473145,1.0,1.0,0.001176968434621,0.001176968434621,0.001176968434621,0.0,0.0,12422.47574081364,17332.181636362104,-0.0229721919158516,-0.0168938643739875,LONG,,,41.931060791015625,
2018-03-16,41.78318405151367,41.45318241119385,40.1276586151123,1.0,1.0,-0.0035266634497745,-0.0035266634497745,-0.0035266634497745,0.0,0.0,12378.6658496628,17271.05686488029,-0.0264178401760354,-0.020360948849749,LONG,,,41.78318405151367,
2018-03-19,41.14477157592773,41.486863708496095,40.17535472869873,1.0,1.0,-0.0152791724728027,-0.0152791724728027,-0.0152791724728027,0.0,0.0,12189.530079162609,17007.169408254198,-0.0412933699124296,-0.0353290228733667,LONG,,,41.14477157592773,
2018-03-20,41.13068771362305,41.52664699554443,40.220743827819824,1.0,1.0,-0.0003423001699911,-0.0003423001699911,-0.0003423001699911,0.0,0.0,12185.3576009444,17001.347851274688,-0.0416215353548801,-0.0356592299128224,LONG,,,41.13068771362305,
2018-03-21,40.19888305664063,41.52899341583252,40.25842212677002,1.0,1.0,-0.0226547307808275,-0.0226547307808275,-0.0226547307808275,0.0,0.0,11909.301605026894,16616.186892792855,-0.0633333414575582,-0.0575061104401235,LONG,,,40.19888305664063,
2018-03-22,39.63088607788086,41.486158752441405,40.28809127807617,1.0,1.0,-0.0141296706667061,-0.0141296706667061,-0.0141296706667061,0.0,0.0,11741.02709547739,16381.405644261256,-0.0765681328672469,-0.0708232387049874,LONG,,,39.63088607788086,
2018-03-23,38.71318054199219,41.36223220825195,40.29544662475586,1.0,1.0,-0.0231563214126789,-0.0231563214126789,-0.0231563214126789,0.0,0.0,11469.148098339543,16002.07254997127,-0.0979514179852832,-0.0923395544387267,LONG,,,38.71318054199219,
2018-03-26,40.55095291137695,41.28947200775146,40.3126314163208,1.0,1.0,0.0474714901657675,0.0474714901657675,0.0474714901657675,0.0,0.0,12013.6056494996,16761.71477965913,-0.0551298275951269,-0.0492515605234085,LONG,,,40.55095291137695,
2018-03-27,39.51117706298828,41.17152919769287,40.31401481628418,1.0,1.0,-0.0256412186086248,-0.0256412186086248,-0.0256412186086248,0.0,0.0,11705.562160762973,16331.92398673847,-0.0793574502425293,-0.0736299091018368,LONG,,,39.51117706298828,
2018-03-28,39.07462692260742,41.03492774963379,40.31604057312012,1.0,1.0,-0.0110487758865021,-0.0110487758865021,-0.0110487758865021,0.0,0.0,11576.23002782318,16151.47621881361,-0.0895294234463777,-0.0838651646241291,LONG,,,39.07462692260742,
2018-03-29,39.3797492980957,40.9501974105835,40.31827583312988,1.0,1.0,0.007808708605014,0.007808708605014,0.007808708605014,0.0,0.0,11666.625434855065,16277.59839014714,-0.0824198240206313,-0.0767113346517764,LONG,,,39.3797492980957,
2018-04-02,39.12155532836914,40.83835716247559,40.30770397186279,1.0,1.0,-0.0065565163397078,-0.0065565163397078,-0.0065565163397078,0.0,0.0,11590.133014562183,16170.874050330936,-0.0884359534374321,-0.0827648918723992,LONG,,,39.12155532836914,
