source,variant,cagr,sharpe,max_drawdown,turnover,trades,cost_drag
v3_allocation,hybrid_qqq_regime,0.3013341512949339,1.1411181346447776,-0.30028371024496947,3.669093315684977,3,0.10824014874729926
v3_allocation,hybrid_qqq_regime,0.3013341512949339,1.1411181346447776,-0.30028371024496947,3.669093315684977,3,0.10824014874729926
v3_allocation,hybrid_qqq_regime,0.3013341512949339,1.1411181346447776,-0.30028371024496947,3.669093315684977,3,0.10824014874729926
v3_allocation,hybrid_spy_regime,0.29234557611653234,1.1336104410984182,-0.3187031157665404,3.3355393778954334,4,0.09458838037126771
v3_allocation,hybrid_spy_regime,0.29234557611653234,1.1336104410984182,-0.3187031157665404,3.3355393778954334,4,0.09458838037126771
v3_allocation,hybrid_spy_regime,0.29234557611653234,1.1336104410984182,-0.3187031157665404,3.3355393778954334,4,0.09458838037126771
v3_allocation,long_spy_regime,0.2899954666592717,1.1261795466279392,-0.3187031157665404,3.168762409000662,4,0.08873182474192998
v3_allocation,long_spy_regime,0.2899954666592717,1.1261795466279392,-0.3187031157665404,3.168762409000662,4,0.08873182474192998
v3_allocation,long_spy_regime,0.2899954666592717,1.1261795466279392,-0.3187031157665404,3.168762409000662,4,0.08873182474192998
v3_allocation,long_spy_regime,0.2745779520983531,1.0507387415385463,-0.3654316210738948,1.5009927200529452,3,0.038873143188717485
v3_allocation,long_qqq_regime,0.27208205920478523,1.0317181478882638,-0.37216088744322096,1.5009927200529452,3,0.03848154202141796
